"distribution","n_group1","n_group2","n_total","missing_rate","df","method","n_null","n_power","rejected","nominal_power","matched_power","ci_lower","ci_upper"
"normal",200,140,340,0.15,5,"score_sandwich",100,100,64,0.67,0.64,0.542354024516087,0.727287795985957
"pl",200,140,340,0.15,5,"score_sandwich",100,99,6,0.0606060606060606,0.0606060606060606,0.0280697974462215,0.125967873764899
"normal",50,35,85,0.3,5,"score_sandwich",99,100,21,0.19,0.21,0.141656540619153,0.299799688340898
"pl",50,35,85,0.3,5,"score_sandwich",94,92,7,0.0326086956521739,0.0760869565217391,0.0373435597096155,0.148812400771672
"normal",100,70,170,0.3,5,"score_sandwich",100,100,27,0.25,0.27,0.192695841495764,0.36432116767945
"pl",100,70,170,0.3,5,"score_sandwich",97,97,2,0.0206185567010309,0.0206185567010309,0.00567268510226635,0.0720875824741576
"normal",200,140,340,0.3,5,"score_sandwich",100,100,58,0.62,0.58,0.48206486703043,0.672016173256452
"pl",200,140,340,0.3,5,"score_sandwich",98,99,3,0.0404040404040404,0.0303030303030303,0.0103586395784541,0.08533680206102
"normal",50,35,85,0,5,"score_sb",100,100,27,0.19,0.27,0.192695841495764,0.36432116767945
"pl",50,35,85,0,5,"score_sb",100,100,8,0.12,0.08,0.0410934614843807,0.149981077009487
"normal",100,70,170,0,5,"score_sb",100,100,42,0.33,0.42,0.327983826743548,0.51793513296957
"pl",100,70,170,0,5,"score_sb",100,100,3,0.06,0.03,0.0102545240240389,0.0845193642905274
"normal",200,140,340,0,5,"score_sb",100,100,81,0.69,0.81,0.722211546209356,0.874852484902313
"pl",200,140,340,0,5,"score_sb",100,100,8,0.09,0.08,0.0410934614843807,0.149981077009487
"normal",50,35,85,0.15,5,"score_sb",100,100,20,0.2,0.2,0.133366933331033,0.288829165593159
"pl",50,35,85,0.15,5,"score_sb",100,99,6,0.0707070707070707,0.0606060606060606,0.0280697974462215,0.125967873764899
"normal",100,70,170,0.15,5,"score_sb",100,100,40,0.36,0.4,0.309401286432459,0.497997413208938
"pl",100,70,170,0.15,5,"score_sb",99,100,4,0.08,0.04,0.0156633039915476,0.098370714358879
"normal",200,140,340,0.15,5,"score_sb",100,100,68,0.66,0.68,0.583373813895476,0.763308526750009
"pl",200,140,340,0.15,5,"score_sb",100,99,7,0.101010101010101,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",50,35,85,0.3,5,"score_sb",99,100,22,0.23,0.22,0.150012823846054,0.310703535149858
"pl",50,35,85,0.3,5,"score_sb",94,92,9,0.0978260869565217,0.0978260869565217,0.0523237570896117,0.175567795161867
"normal",100,70,170,0.3,5,"score_sb",100,100,30,0.3,0.3,0.218948852949328,0.395848546333466
"pl",100,70,170,0.3,5,"score_sb",97,97,1,0.0515463917525773,0.0103092783505155,0.00182216480828685,0.0561049902428989
"normal",200,140,340,0.3,5,"score_sb",100,100,54,0.66,0.54,0.442648603233682,0.634391916909759
"pl",200,140,340,0.3,5,"score_sb",98,99,4,0.0707070707070707,0.0404040404040404,0.0158226389941476,0.0993202125025421
"normal",50,35,85,0,5,"score_ss",100,100,27,0.18,0.27,0.192695841495764,0.36432116767945
"pl",50,35,85,0,5,"score_ss",100,100,8,0.04,0.08,0.0410934614843807,0.149981077009487
"normal",100,70,170,0,5,"score_ss",100,100,42,0.32,0.42,0.327983826743548,0.51793513296957
"pl",100,70,170,0,5,"score_ss",100,100,3,0.03,0.03,0.0102545240240389,0.0845193642905274
"normal",200,140,340,0,5,"score_ss",100,100,81,0.69,0.81,0.722211546209356,0.874852484902313
"pl",200,140,340,0,5,"score_ss",100,100,7,0.05,0.07,0.0343192610672727,0.137495147390735
"normal",50,35,85,0.15,5,"score_ss",100,100,20,0.19,0.2,0.133366933331033,0.288829165593159
"pl",50,35,85,0.15,5,"score_ss",100,99,7,0.0505050505050505,0.0707070707070707,0.0346702302832347,0.138814850785102
"normal",100,70,170,0.15,5,"score_ss",100,100,39,0.32,0.39,0.300168740063944,0.487969829541593
"pl",100,70,170,0.15,5,"score_ss",99,100,7,0.05,0.07,0.0343192610672727,0.137495147390735
"normal",200,140,340,0.15,5,"score_ss",100,100,68,0.66,0.68,0.583373813895476,0.763308526750009
"pl",200,140,340,0.15,5,"score_ss",100,99,8,0.0707070707070707,0.0808080808080808,0.0415144025029118,0.15141808842264
"normal",50,35,85,0.3,5,"score_ss",99,100,22,0.21,0.22,0.150012823846054,0.310703535149858
"pl",50,35,85,0.3,5,"score_ss",94,92,7,0.0217391304347826,0.0760869565217391,0.0373435597096155,0.148812400771672
"normal",100,70,170,0.3,5,"score_ss",100,100,30,0.28,0.3,0.218948852949328,0.395848546333466
"pl",100,70,170,0.3,5,"score_ss",97,97,1,0.0309278350515464,0.0103092783505155,0.00182216480828685,0.0561049902428989
"normal",200,140,340,0.3,5,"score_ss",100,100,54,0.63,0.54,0.442648603233682,0.634391916909759
"pl",200,140,340,0.3,5,"score_ss",98,99,4,0.0404040404040404,0.0404040404040404,0.0158226389941476,0.0993202125025421
